;Energy_5
2022-01-06 12:30:00+02:00;-1.4749081639933264
2022-01-06 12:45:00+02:00;-1.47470527031007
2022-01-06 13:00:00+02:00;-1.4745981875327958
2022-01-06 13:15:00+02:00;-1.4745291473211324
2022-01-06 13:30:00+02:00;-1.4745023766268137
2022-01-06 13:45:00+02:00;-1.4744854688198756
2022-01-06 14:00:00+02:00;-1.4744671520290262
2022-01-06 14:15:00+02:00;-1.4744319274312385
2022-01-06 14:30:00+02:00;-1.474388248929982
2022-01-06 14:45:00+02:00;-1.4743614782356635
2022-01-06 15:00:00+02:00;-1.4742910290400884
2022-01-06 15:15:00+02:00;-1.4742107169571328
2022-01-06 15:30:00+02:00;-1.4741585845524072
2022-01-06 15:45:00+02:00;-1.4741318138580886
2022-01-06 16:00:00+02:00;-1.4741149060511505
2022-01-06 16:15:00+02:00;-1.474096589260301
2022-01-06 16:30:00+02:00;-1.474088135356832
2022-01-06 16:45:00+02:00;-1.474079681453363
2022-01-06 17:00:00+02:00;-1.474079681453363
2022-01-06 17:15:00+02:00;-1.474079681453363
2022-01-06 17:30:00+02:00;-1.474079681453363
2022-01-06 17:45:00+02:00;-1.474079681453363
2022-01-06 19:00:00+02:00;-1.474079681453363
2022-01-07 08:15:00+02:00;-1.474079681453363
2022-01-07 08:30:00+02:00;-1.474079681453363
2022-01-07 08:45:00+02:00;-1.474079681453363
2022-01-07 09:00:00+02:00;-1.474079681453363
2022-01-07 09:15:00+02:00;-1.474079681453363
2022-01-07 09:30:00+02:00;-1.4740698185659824
2022-01-07 09:45:00+02:00;-1.4740529107590445
2022-01-07 10:00:00+02:00;-1.474034593968195
2022-01-07 10:15:00+02:00;-1.4740176861612568
2022-01-07 10:30:00+02:00;-1.4739824615634693
2022-01-07 10:45:00+02:00;-1.4739120123678942
2022-01-07 11:00:00+02:00;-1.473788021783682
2022-01-07 11:15:00+02:00;-1.4736908018937882
2022-01-07 11:30:00+02:00;-1.4736034448912751
2022-01-07 11:45:00+02:00;-1.4735513124865496
2022-01-07 12:00:00+02:00;-1.473499180081824
2022-01-07 12:15:00+02:00;-1.473454092596656
2022-01-07 12:30:00+02:00;-1.4734090051114879
2022-01-07 12:45:00+02:00;-1.4733751894976117
2022-01-07 13:00:00+02:00;-1.4733301020124436
2022-01-07 13:15:00+02:00;-1.4733047403020365
2022-01-07 13:30:00+02:00;-1.473286423511187
2022-01-07 13:45:00+02:00;-1.47326106180078
2022-01-07 14:00:00+02:00;-1.4732342911064615
2022-01-07 14:15:00+02:00;-1.4732075204121429
2022-01-07 14:30:00+02:00;-1.4731892036212935
2022-01-07 14:45:00+02:00;-1.4731807497178244
2022-01-07 15:00:00+02:00;-1.4731455251200367
2022-01-07 15:15:00+02:00;-1.4730313974232052
2022-01-07 15:30:00+02:00;-1.4729877189219485
2022-01-07 15:45:00+02:00;-1.47296094822763
2022-01-07 16:00:00+02:00;-1.472952494324161
2022-01-07 16:15:00+02:00;-1.472935586517223
2022-01-07 16:30:00+02:00;-1.4729172697263735
2022-01-07 16:45:00+02:00;-1.4729172697263735
2022-01-07 17:00:00+02:00;-1.4729172697263735
2022-01-07 17:15:00+02:00;-1.4729172697263735
2022-01-07 17:30:00+02:00;-1.4729172697263735
2022-01-07 17:45:00+02:00;-1.4729172697263735
2022-01-07 19:00:00+02:00;-1.4729172697263735
2022-01-07 20:15:00+02:00;-1.4729172697263735
2022-01-08 08:00:00+02:00;-1.4729172697263735
2022-01-08 08:15:00+02:00;-1.4729172697263735
2022-01-08 08:30:00+02:00;-1.4729172697263735
2022-01-08 08:45:00+02:00;-1.4729172697263735
2022-01-08 09:00:00+02:00;-1.472907406838993
2022-01-08 09:15:00+02:00;-1.4728989529355239
2022-01-08 09:30:00+02:00;-1.4728820451285858
2022-01-08 09:45:00+02:00;-1.4728637283377364
2022-01-08 10:00:00+02:00;-1.4728383666273293
2022-01-08 10:15:00+02:00;-1.4728017330456302
2022-01-08 10:30:00+02:00;-1.4727665084478427
2022-01-08 10:45:00+02:00;-1.472714376043117
2022-01-08 11:00:00+02:00;-1.4726706975418604
2022-01-08 11:15:00+02:00;-1.4726087022497543
2022-01-08 11:30:00+02:00;-1.4725636147645862
2022-01-08 11:45:00+02:00;-1.4725128913437722
2022-01-08 12:00:00+02:00;-1.472450896051666
2022-01-08 12:15:00+02:00;-1.472397354663029
2022-01-08 12:30:00+02:00;-1.472371992952622
2022-01-08 12:45:00+02:00;-1.4723353593709227
2022-01-08 13:00:00+02:00;-1.4722916808696662
2022-01-08 13:15:00+02:00;-1.4722649101753478
2022-01-08 13:30:00+02:00;-1.4722212316740912
2022-01-08 13:45:00+02:00;-1.4721944609797726
2022-01-08 14:00:00+02:00;-1.472159236381985
2022-01-08 14:15:00+02:00;-1.4721240117841974
2022-01-08 14:30:00+02:00;-1.4720901961703214
2022-01-08 14:45:00+02:00;-1.4720535625886224
2022-01-08 15:00:00+02:00;-1.4720183379908347
2022-01-08 15:15:00+02:00;-1.4719929762804278
2022-01-08 15:30:00+02:00;-1.4719662055861091
2022-01-08 15:45:00+02:00;-1.4719492977791713
2022-01-08 16:00:00+02:00;-1.4719309809883216
2022-01-08 16:15:00+02:00;-1.471921118100941
2022-01-08 16:30:00+02:00;-1.471921118100941
2022-01-08 16:45:00+02:00;-1.471921118100941
2022-01-08 17:00:00+02:00;-1.471921118100941
2022-01-08 17:15:00+02:00;-1.471921118100941
2022-01-08 17:30:00+02:00;-1.471921118100941
2022-01-08 17:45:00+02:00;-1.471921118100941
2022-01-08 19:00:00+02:00;-1.471921118100941
2022-01-08 20:15:00+02:00;-1.471921118100941
2022-01-09 08:00:00+02:00;-1.471921118100941
2022-01-09 08:15:00+02:00;-1.471921118100941
2022-01-09 08:30:00+02:00;-1.471921118100941
2022-01-09 08:45:00+02:00;-1.471921118100941
2022-01-09 09:00:00+02:00;-1.471912664197472
2022-01-09 09:15:00+02:00;-1.471912664197472
2022-01-09 09:30:00+02:00;-1.471904210294003
2022-01-09 09:45:00+02:00;-1.4718957563905342
2022-01-09 10:00:00+02:00;-1.4718774395996845
2022-01-09 10:15:00+02:00;-1.4718520778892774
2022-01-09 10:30:00+02:00;-1.4718154443075784
2022-01-09 10:45:00+02:00;-1.471780219709791
2022-01-09 11:00:00+02:00;-1.4717548579993838
2022-01-09 11:15:00+02:00;-1.4717365412085344
2022-01-09 11:30:00+02:00;-1.4716844088038088
2022-01-09 11:45:00+02:00;-1.4716308674151717
2022-01-09 12:00:00+02:00;-1.471587188913915
2022-01-09 12:15:00+02:00;-1.4715266026057203
2022-01-09 12:30:00+02:00;-1.4714730612170832
2022-01-09 12:45:00+02:00;-1.4713927491341277
2022-01-09 13:00:00+02:00;-1.4713053921316146
2022-01-09 13:15:00+02:00;-1.4712166261451898
2022-01-09 13:30:00+02:00;-1.4711546308530838
2022-01-09 13:45:00+02:00;-1.4711039074322696
2022-01-09 14:00:00+02:00;-1.471032049252783
2022-01-09 14:15:00+02:00;-1.4709348293628894
2022-01-09 14:30:00+02:00;-1.4709010137490133
2022-01-09 14:45:00+02:00;-1.470822110649969
2022-01-09 15:00:00+02:00;-1.470777023164801
2022-01-09 15:15:00+02:00;-1.470698120065757
2022-01-09 15:30:00+02:00;-1.4706713493714383
2022-01-09 15:45:00+02:00;-1.4706530325805889
2022-01-09 16:00:00+02:00;-1.4706362128351453
2022-01-09 16:15:00+02:00;-1.4706193050282073
2022-01-09 16:30:00+02:00;-1.4706193050282073
2022-01-09 16:45:00+02:00;-1.4706094421408267
2022-01-09 17:00:00+02:00;-1.4706094421408267
2022-01-09 17:15:00+02:00;-1.4706094421408267
2022-01-09 17:30:00+02:00;-1.4706094421408267
2022-01-09 17:45:00+02:00;-1.4706094421408267
2022-01-10 07:45:00+02:00;-1.4706094421408267
2022-01-10 08:00:00+02:00;-1.4706094421408267
2022-01-10 08:15:00+02:00;-1.4706094421408267
2022-01-10 08:30:00+02:00;-1.4706094421408267
2022-01-10 08:45:00+02:00;-1.4706094421408267
2022-01-10 09:00:00+02:00;-1.4706094421408267
2022-01-10 09:15:00+02:00;-1.4706009882373576
2022-01-10 09:30:00+02:00;-1.4705840804304198
2022-01-10 09:45:00+02:00;-1.4705657636395701
2022-01-10 10:00:00+02:00;-1.470540401929163
2022-01-10 10:15:00+02:00;-1.470495314443995
